id,Questions,A,B,C ,D
904,"Con gì có cánh, mà không bi?t bay, ngày xu?ng ao choi, dêm v? d? tr?ng?",Con v?t ,Con gà ,Con chim ,Con b? 
905,Con gì tám c?ng hai càng?,Con Cua,Con Cá,Con Tôm,Con M?c
906,Ði?n vào ch? tr?ng: ? hi?n g?p ...?,Lành ,D? ,Hi?n ,May 
907,Ði?n vào câu t?c ng? sau: Bán anh em xa mua ... g?n?,Láng gi?ng ,Hàng xóm ,Gi?ng làng ,Khóm gi?ng
908,"Ði?n vào câu t?c ng? sau: Nhà khó c?y v? hi?n, nu?c lo?n nh? ... gi?i?",Tu?ng ,Vua ,Qu?c su ,Thái t? 
909,Ði?n vào ch? tr?ng: ... g?m di dêm?,Áo ,Chan ,M?n ,T?t 
910,"Ði?n vào ch? tr?ng: An com l?a thóc, an ... b? gan?",Cóc,Nhái ,?ch ,Sóc
911,"Ði?n vào ch? tr?ng: Con nhà lính, tính nhà ...?",Quan ,Dân ,Quân ,Vua
912,Ði?n vào ch? tr?ng: Ch?m nhu ...?,Rùa , Bò ,Th?,Ba ba 
913,Ði?n vào ch? tr?ng: Ích nu?c l?i ...?,Nhà ,Dân,Quê ,Sông 
914,Ði?n vào ch? tr?ng: Nuôi ... dòm nhà?,Kh? ,H? ,Chó ,Voi 
915,Ði?n vào ch? tr?ng: Ti?n m?t ... mang?,T?t,B?nh ,T?i ,Thù 
916,Ai là tri?u phú có bao nhiêu câu h?i trong 1 chuong trình,15,10,5,3
917,Con v?t nào sau dây dùng d? so sánh v?i nh?ng bài tho không hay?,Con cóc,Con mèo,Con h?,Con huou
918,Con v?t nào sau dây nh? to d? b?t m?i?,Nh?n,Gà,Kh?,Ki?n
919,Con nào sau dây s?ng theo dàn?,Ki?n,D?,Mèo,R?n
920,Hoàn thành câu thành ng? sau: Ð?ng ti?n di li?n …?,Khúc ru?t,Khúc sông,Khúc ca,Khúc g?
921,Qu? nào sau dây cay nh?t?,?t,Chanh,Cam,Bu?i
922,Qu? nào sau dây chua nh?t?,Chanh,Chu?i,?t,Mít
923,Vi?t Nam có truy?n th?ng d?t tên con bão theo cách nào?,S? th? t?,Tên danh nhân,Tên d?a danh,Tên qu?c t?
924,Loài v?t nào dã mang h?t gi?ng d?n cho Mai An Tiêm?,Chim,Kh?,Cá Heo,Rùa bi?n
925,Lo?i bút nào sau dây ph?i thu?ng xuyên g?t v? khi s? d?ng?,Bút chì,Bút bi,Bút máy,Bút lông
926,Lo?i trang ph?c nào sau dây thu?ng ch? dành cho ph? n??,Váy,Mu,Áo,Qu?n
927,Con v?t nào sau dây không có th?t?,R?ng l?a,R?n chuông,Voi Ma Mút,Cá heo
928,Món an nào sau dây không ph?i có ngu?n g?c t? Vi?t Nam?,Ham bo go,Ph?,Bánh giò,Bánh xèo
929,Ngu?i ta thu?ng xây d?ng cái gì d? n?i li?n hai b? sông v?i nhau?,C?u,Nhà cao t?ng,Tu?ng dài,B?n xe
930,Công trình nào du?i dây không xây d?ng d? ??,Tu?ng dài,Chung cu,Bi?t th?,Kí túc xá
931,V?t th? nào sau dây l?n hon nh?ng cái còn l?i?,M?t tr?i,Trái d?t,Trái cam,Ng?n núi
932,V?t th? nào sau dây nh? hon nh?ng v?t th? còn l?i?,Con ki?n,Con gà,Trái Thom,Trái D?a
933,V?t d?ng nào sau dây du?c dùng d? quan sát nh?ng v?t siêu nh??,Kính hi?n vi,Kính thiên van,Máy v?t cam,T? L?nh
934,V?t d?ng nào sau dây không dùng d? b?o qu?n th?c ph?m?,Ði?n tho?i di d?ng,T? L?nh,T? Mát,Kho l?nh
935,Phuong ti?n nào sau dây thu?ng không dùng làm phuong ti?n liên l?c?,Khoai lang,Thu tay,Ði?n tho?i,Email
936,"Các thi?t b? di d?ng nhu di?n tho?i di d?ng, máy tính b?ng, máy tính xách tay thu?ng s? d?ng ngu?n di?n t??",Pin,Máy phát di?n,?c quy,Không c?n ngu?n
937,Tên g?i nào sau dây không dành d? ch? tên n?t nh?c?,Má,Ð?,Rê,Mi
938,Trái bóng nào sau dây không ph?i hình c?u?,Bóng b?u d?c,Bóng dá,Bóng r?,Bóng bàn
939,Môn th? thao nào sau dây thu?ng dòi h?i sân thi d?u r?t r?ng?,Golf,Bóng bàn,Tennis,Ð?u ki?m
940,Môn th? thao nào sau dây có ngu?n g?c t? Vi?t Nam?,Vovinam,Karate,C? vua,C? Tu?ng
941,Môn th? thao nào sau dây thu?ng không dùng chân d? thi d?u?,C? vua,Boi l?i,Karate,Marathon
942,Lê Quang Liêm là v?n d?ng viên n?i ti?ng c?a Vi?t Nam trong môn th? thao nào?,C? vua,C? tu?ng,C? Caro,Ô an quan
943,Bài hát nào sau dây là bài hát chính trong SEAGAME 22 t? ch?c t?i Vi?t Nam nam 2003?,Vì m?t th? gi?i ngày mai,V? m?t Hà N?i ngày mai,Vì m?t Vi?t Nam ngày mai,Vì m?t Châu Á ngày mai
944,Trong truy?n c? Son Tinh Th?y Tinh l? v?t nào sau dây không du?c Vua Hùng yêu câu?,Cáo chín duôi,Voi chín ngà,Gà chín c?a,Ng?a chín h?ng mao
945,? Vi?t Nam ngu?i ta thu?ng s? d?ng cách nào sau dây d? g?i tên các du?ng qu?c l??,S? và ch?,Tên các v? tu?ng,Tên các vi nhân,Tên d?a danh
946,"M?c, d?m, vàng, Milu là tên thu?ng dùng d? d?t cho loài nào sau dây?",Chó,Mèo,Cá,Tôm
947,Ðâu không ph?i là tên ch? các phuong ti?n bay trên không trung?,Tàu há m?m,Tàu bay,Tàu con thoi,Tàu vu tr?
948,Con v?t lai gi?a con ng?a và con l?a du?c g?i là con gì?,La,Ma,Ra,Na
949,Ngu?i nào sau dây sáng l?p ra Facebook?,Mark Zuckerbeg,Bill Gates,Bill Clinton,Bill James
950,M?t chi?c d?ng h? thông thu?ng không có lo?i kim nào sau dây?,Kim tháng,Kim gi?,Kim giây,Kim phút
951,Ngành công nghi?p nào sau dây thu?ng du?c ví là ngành công nghi?p không ?ng khói?,Du l?ch,Ðóng tàu,Khai khoáng,L?c d?u
952,Trang ph?c nào sau dây có ngu?n g?c t? Vi?t Nam?,Áo Bà Ba,Kimono,Hanbok,Comple
953,M?t chi?c Moto ? Vi?t Nam thông thu?ng g?m m?y bánh?,2,4,1,8
954,"V?i m?t s? t? nhiên, khi thay d?i giá tr? ? ph?n nào sau dây thì giá tr? c?a s? dó thay d?i nhi?u nh?t?",Hàng nghìn,Hàng tram,Hàng ch?c,Hàng don v?
955,Trong m?t s? t? nhiên thì hàng don v? du?c vi?t ? v? trí nào sau dây?,Ngoài cùng bên ph?i,Ngoài cùng bên trái,Gi?a,Sau hàng tram
956,Ði?n t? vào ch? tr?ng: Tình trong nhu dã m?t ngoài còn …?,E,Th?n,Ng?i,Ði?u b?
957,"Hoàn thành câu tho sau: Tình trong nhu dã, m?t ngoài…?",Còn e,Còn lo,Còn s?,Còn thuong
958,"Ai oi d?ng b? ru?ng hoang, bao nhiêu t?t d?t, t?c … b?y nhiêu, di?n vào d?u 3 ch?m?",Vàng,B?c,Ð?ng,S?t
959,? Vi?t Nam h?c sinh ph? thông ph?i h?c qua bao nhiêu l?p?,12,10,9,8
960,Theo quy d?nh thì h?c sinh b?t d?u di h?c l?p 1 t? lúc m?y tu?i?,6,4,10,12
961,Truy?n k? v? các v? th?n thu?ng du?c g?i là gì?,Th?n tho?i,Th?n thông,Th?n k?,Tâm th?n
962,Trong truy?n thuy?t Ch? Ð?ng T? và ngu?i cha ph?i chung nhau dùng m?t cái gì?,Kh?,Nhà,Ng?a,Thuy?n
963,Theo truy?n thuy?t thì Ng?c Hoàng cu?i cùng dã d?ng ý cho Nguu Lang và Ch?c N? g?p nhau m?y l?n trong nam?,1 l?n,2 l?n,3 l?n,4 l?n
964,Showbiz là t? thu?ng du?c dùng d? ch? gi?i nào?,Ngh? si,Nông dân,Th? xây,Lái xe
965,Ðâu là tên m?t di?u nh?y?,Tang gô,Ram bô,Ra dô,Ô tô
966,Dân gian thu?ng g?i h? là gì?,Ông ba muoi,Ông b?n muoi,Ông nam muoi,Ông sáu muoi
967,Loài cây nào sau dây không du?c tr?ng ? mi?n B?c Vi?t Nam?,S?u riêng,D?a,Ðào,Mo
968,Hình t? giác có bao nhiêu c?nh?,4,5,3,6
969,Hình l?c lang có bao nhiêu c?nh?,6,5,4,8
970,Hình bát giác có bao nhiêu c?nh?,8,6,7,9
971,Xang xe thông thu?ng du?c s?n xu?t t? ngu?n nào sau dây?,D?u m?,D?u d?a,D?u g?i,D?u an
972,Các chú lùn trong truy?n B?ch Tuy?t làm ngh? gì?,Th? m?,Th? di?n,Th? xây,Th? c?o
973,"Rùa và Th?, Con cáo và chùm nho, d?o cày gi?a du?ng là th? lo?i van h?c nào?",Truy?n ng? ngôn,Truy?n tranh,Truy?n tho,Ti?u thuy?t
974,T? nào sau dây ch? tên m?t b? ph?n trên co th? ngu?i?,Quai xanh,Quai dép,Quai búa,Quai mu
975,Tên nào sau dây d? ch? can b?nh c?a con ngu?i?,Viêm màng não,B?nh tai xanh,Vàng lá,Sâu d?c thân
976,Lo?i qu? nào sau dây là món an yêu thích c?a loài kh??,Chu?i,?t,Chanh,Cà
977,Ðâu là tên ngu?i dân g?i m?t lo?i máy bay trong chi?n tranh?,Máy bay bà già,Máy bay ông già,Máy bay bà lão,Máy bay ông lão
978,D?ng c? nào sau dây thu?ng dùng trong nhà b?p?,Dao,Ðao,Ki?m,Mã t?u
979,D?ng c? nào sau dây thu?ng  không n?m trong các d? dùng c?a h?c sinh?,Kim tiêm,Bút chì,Thu?c k?,Compa
980,Ðâu không ph?i là b? ph?n c?a m?t chi?c Mô tô?,N?p capô,Guong chi?u h?u,?ng x?,Còi
981,Trong tác ph?m T?t Ðèn c?a Ngô T?t T? là câu chuy?n xoay quanh nhân v?t nào sau dây?,Ch? D?u,Lão H?c,Ch? Bính,Ch? M?n
982,Ngu?i ta dùng hình tu?ng nào sau dây d? ch? nh?ng ngu?i ph? n? có b? ngoài x?u xí?,Th? N?,Th? Kính,Th? Màu,Th? Nghè
983,C?m t? nào sau dây dùng d? ch? v? d?p c?a ngu?i ph? n??,Yêu ki?u,Yêu sách,Yêu ma,Yêu quái
984,C?m t? nào sau dây thu?ng không dùng d? nói v? tính cách c?a m?t con ngu?i?,Bao la,Ðoan trang,Ðôn h?u,Yêu d?i
985,Ð?t nu?c nào sau dây du?c g?i là x? s? B?ch Duong?,Nga,Vi?t Nam,Lào,Hoa K?
986,Giác quan nào phát tri?n nh?t ? loài chó?,Kh?u giác,Th? giác,Thính giác,Xúc giác
987,H?t c?a qu? nào sau dây không an du?c?,Nhãn,Mít,Thanh Long,Bàng
988,H?t c?a qu? nào sau dây an du?c?,Mít,Nhãn,V?i,Na
989,Qu? nào sau dây có nhi?u h?t nh?t?,Thanh Long,Mít,S?u Riêng,Na
990,Qu? nào sau dây không có h?t?,D?a,Nhãn,Bu?i,Ðào
991,Qu? nào sau dây ch? có m?t h?t?,Nhãn,Na,?i,Dua h?u
992,Qu? nào sau dây khi chín có ru?t m?u d??,Dua H?u,Mít,?i,D?a
993,Trên tr?i có gi?ng nu?c trong. Con ki?n ch?ng l?t con ong ch?ng v?a. Là qu? gì?,D?a,Cam,Dua H?u,Chanh
994,C?y trên d?ng ru?ng tr?ng phau. Khát xu?ng u?ng nu?c gi?ng sâu den ngòm. Là cái gì?,Cái bút m?c,Cái bút chì,Cái bút bi,Cái bút d?
995,"Da tr?ng mu?t,Ru?t tr?ng tinh,B?n v?i h?c sinh,Thích c? d?u vào b?ng? Là cái gì?",Viên ph?n,Cái bút ,C?c t?y,Hòn g?ch
996,"Thân em xua ? b?i tre, mùa dông x?p l?i mùa hè n? ra. Là cái gì?",Cái qu?t gi?y,Cái r?,Cái thúng,Cái mo
997,"B?ng cái dia, x?a xu?ng ao, ba mai chín qu?c mà dào không lên. Là cái gì?",Bóng m?t trang,Bóng ngu?i,Bóng cây,Bóng dá
998,Theo dân gian tháng nào sau dây là tháng an choi?,Tháng giêng,Tháng hai,Tháng ba,Tháng ch?p
999,Theo dân gian tháng m?t du?c g?i là tháng gì?,Tháng giêng,Tháng hai,Tháng ba,Tháng ch?p
